default,student,balance,income
No,No,967.0,27663.13407
No,Yes,1050.0,11137.86104
No,No,462.0,33157.3622
No,No,473.0,41257.38603
Yes,No,2033.0,44998.28744
No,No,442.0,39307.50404
No,No,952.0,28642.3638
Yes,Yes,2216.0,20911.69564
No,Yes,345.0,18251.49456
No,No,1496.0,44309.9029
No,No,967.0,23278.66591
No,No,477.0,33760.45831
No,Yes,41.0,18664.90101
No,No,467.0,24719.39552
No,No,955.0,46310.10752
No,No,464.0,53215.93158
Yes,No,2007.0,50033.53315
No,Yes,375.0,19806.51909
No,No,901.0,43242.61209
Yes,No,1861.0,55671.72366
No,No,1101.0,43035.56208
No,Yes,1046.0,23335.04633
No,No,899.0,36361.97808
No,Yes,1187.0,14256.72955
No,No,443.0,36547.16104
No,No,961.0,51179.46012
Yes,Yes,1722.0,15179.74933
No,No,468.0,22943.12569
No,No,951.0,25540.81596
No,No,1411.0,26040.00459
Yes,Yes,2117.0,12143.4748
Yes,Yes,1989.0,17762.86591
No,Yes,493.0,10154.15626
No,No,460.0,56002.2232
No,No,468.0,23336.03001
No,Yes,1050.0,19724.83261
No,Yes,1193.0,21597.75167
No,Yes,601.0,22029.19352
No,Yes,614.0,9506.460305
No,No,1227.0,49697.04618
No,Yes,372.0,17243.0493
No,No,1230.0,59755.03012
No,Yes,1041.0,12078.77761
No,Yes,49.0,16647.30616
Yes,No,1994.0,44794.3375
No,Yes,1185.0,13276.22112
No,No,464.0,43330.55244
No,No,1101.0,50237.25782
No,No,939.0,56225.82073
Yes,No,1773.0,42080.10684
No,Yes,1307.0,19381.54132
No,No,948.0,45284.20595
No,Yes,974.0,20770.48403
No,Yes,384.0,17445.18244
No,No,965.0,47987.31975
No,No,439.0,47899.16968
No,No,467.0,33644.25784
No,Yes,1177.0,18662.59883
No,Yes,373.0,22018.9821
Yes,Yes,1878.0,17473.18399
No,Yes,600.0,18538.30171
No,No,956.0,10836.72352
No,Yes,602.0,16948.61323
Yes,Yes,1705.0,16887.40514
No,No,459.0,37630.61332
Yes,Yes,2010.0,25694.49616
No,Yes,1200.0,19538.02749
No,Yes,1047.0,18069.25235
Yes,No,1721.0,41999.70334
Yes,Yes,1985.0,22248.40266
No,Yes,976.0,12102.81789
No,No,454.0,39608.32287
No,Yes,2.0,20837.33546
No,No,546.0,52619.62177
No,No,901.0,13498.12653
No,Yes,1173.0,23811.0003
No,Yes,1189.0,22867.07059
No,Yes,1176.0,16670.68079
Yes,Yes,1889.0,22652.10963
Yes,Yes,2654.0,21930.38888
No,Yes,7.0,21695.70276
No,Yes,597.0,14796.74967
Yes,No,2237.0,37113.88307
No,Yes,1349.0,22935.59545
No,No,462.0,37617.04367
No,Yes,601.0,21613.91361
No,No,475.0,28182.97557
No,No,455.0,43513.35063
No,No,897.0,48703.41297
No,No,1228.0,43577.66949
No,No,962.0,37073.19238
Yes,No,1743.0,22308.12575
No,Yes,1175.0,15444.92692
No,No,956.0,40740.32911
No,No,939.0,14524.35762
No,No,1309.0,43278.05928
No,No,1501.0,27354.50025
No,No,1763.0,44546.23719
Yes,No,2025.0,64135.43108
No,No,443.0,27898.46539
Yes,No,2149.0,44309.91717
No,No,957.0,50834.40834
Yes,No,1802.0,24152.26483
No,Yes,1180.0,19871.20674
No,No,451.0,39849.71324
No,Yes,598.0,16526.67733
No,Yes,1180.0,24063.31274
No,No,478.0,28262.86813
No,Yes,978.0,16679.89397
No,Yes,1049.0,23332.48384
No,Yes,599.0,23118.5311
Yes,No,1764.0,46227.07454
No,No,1412.0,40785.05977
Yes,No,1804.0,23096.08436
No,No,478.0,34318.9832
No,Yes,1045.0,29601.40394
No,No,473.0,63759.78703
Yes,No,1839.0,32129.33982
No,Yes,1184.0,12428.61451
No,No,407.0,38285.41491
No,No,967.0,51674.41937
No,No,457.0,50160.6337
No,Yes,1185.0,19797.77015
No,No,1309.0,35964.79193
No,Yes,1181.0,19139.30023
No,Yes,381.0,22042.57001
No,Yes,1179.0,16923.40249
No,No,450.0,36121.23739
Yes,Yes,1790.0,14306.8236
Yes,Yes,2352.0,24067.5481
No,Yes,1172.0,17642.26775
No,No,899.0,36335.21952
No,No,1310.0,36851.26912
Yes,No,2008.0,35145.04762
No,Yes,976.0,10541.57023
No,No,457.0,21892.17721
No,No,949.0,47760.40017
No,No,949.0,39671.53388
No,No,947.0,35604.11719
No,No,449.0,47494.43249
No,No,957.0,57698.40822
No,No,476.0,37627.35002
No,No,478.0,30338.35686
No,No,441.0,55970.92336
No,Yes,609.0,24523.8541
No,No,940.0,38395.6138
No,Yes,1049.0,15815.34397
No,Yes,1201.0,13772.98912
No,No,898.0,47557.5241
No,Yes,14.0,13846.80104
No,No,1311.0,28978.46412
No,Yes,1047.0,13714.27938
No,Yes,1044.0,27380.47009
No,No,440.0,24452.6466
No,Yes,12.0,19910.96897
No,No,952.0,21990.09147
No,No,408.0,39388.31756
No,Yes,384.0,11777.53769
No,Yes,1041.0,24847.8812
No,No,946.0,38714.51829
No,Yes,385.0,22395.88236
No,No,463.0,50229.58589
Yes,Yes,1945.0,13026.04673
Yes,No,2344.0,51095.29393
No,No,737.0,27879.65685
No,No,413.0,49060.92374
No,No,950.0,32676.23075
No,No,474.0,58068.62224
Yes,Yes,1568.0,19172.67945
No,No,964.0,48405.84311
No,No,413.0,44650.07843
No,No,969.0,29705.04132
No,Yes,1048.0,20659.14486
No,No,414.0,31466.22059
No,No,471.0,45573.30811
No,Yes,385.0,21364.23009
No,Yes,1180.0,18954.39379
No,No,1416.0,31303.16331
Yes,Yes,1899.0,20655.2
No,No,458.0,36211.19499
Yes,Yes,1807.0,11506.21775
Yes,Yes,1725.0,22170.68734
No,No,458.0,49908.59744
Yes,Yes,2087.0,17893.72137
No,Yes,1178.0,14385.16707
No,No,691.0,43511.33727
No,No,939.0,40914.22823
No,No,1507.0,41931.70448
No,No,955.0,40368.59789
No,No,413.0,43071.18631
No,No,953.0,44894.44293
Yes,Yes,1808.0,21849.48163
No,No,413.0,33923.45804
No,Yes,1038.0,15580.76888
No,No,465.0,27324.89969
Yes,Yes,1894.0,28321.68455
Yes,Yes,1983.0,25687.92975
Yes,No,2095.0,44647.58648
Yes,No,1920.0,57242.98341
No,No,959.0,38310.08601
No,Yes,11.0,19387.92064
No,No,1229.0,46411.82006
No,No,941.0,54839.12365
No,No,897.0,21627.45252
No,No,1494.0,48133.93844
No,No,1229.0,59100.85115
Yes,Yes,1820.0,19393.48297
No,Yes,602.0,11019.58695
No,No,963.0,60084.12648
No,No,450.0,38987.02486
No,No,955.0,40698.97613
No,No,403.0,41803.77816
No,No,961.0,31647.28748
No,No,957.0,38285.7479
Yes,No,2038.0,43016.07218
No,No,459.0,45043.6664
No,No,1493.0,41005.21748
No,Yes,1196.0,19906.73149
No,No,1493.0,56364.25489
No,Yes,370.0,24834.41758
No,Yes,1175.0,13025.76945
No,Yes,594.0,14159.64178
No,No,439.0,42132.01363
No,Yes,358.0,14338.52874
No,No,901.0,33130.70934
No,No,958.0,28145.84248
No,No,439.0,44620.26515
No,No,950.0,38990.17386
Yes,Yes,2146.0,23516.19134
Yes,Yes,1957.0,18805.95213
Yes,Yes,1806.0,19168.02997
Yes,Yes,2047.0,13678.50803
Yes,Yes,1957.0,15574.38998
No,No,1314.0,31145.70835
Yes,No,2086.0,35657.22567
No,No,477.0,46953.41828
No,No,439.0,32762.18623
No,Yes,1038.0,18324.03006
No,Yes,1178.0,29362.60461
No,No,457.0,48195.77584
No,No,464.0,37842.04778
No,No,965.0,33908.05138
No,No,445.0,31974.62451
No,No,1503.0,53129.78304
No,No,450.0,49643.42644
Yes,Yes,1875.0,14957.81633
Yes,Yes,2039.0,12181.90258
No,No,439.0,36838.88203
No,No,413.0,63793.55763
No,No,968.0,31641.67634
No,Yes,18.0,13739.7546
Yes,No,1974.0,27340.01227
No,Yes,1189.0,17287.63921
No,No,1314.0,39989.00907
No,No,463.0,42297.4578
No,No,441.0,50902.13614
No,No,449.0,31624.90568
Yes,Yes,1926.0,17012.43814
No,No,457.0,42506.86315
No,Yes,615.0,18487.23371
Yes,No,1819.0,49621.05617
No,No,473.0,43016.86073
No,Yes,1039.0,12312.89596
No,No,408.0,47826.21377
No,Yes,604.0,15477.35388
No,No,443.0,29811.36345
Yes,Yes,1875.0,17820.46333
No,Yes,488.0,33003.42295
No,Yes,1187.0,24267.39648
Yes,Yes,1726.0,13654.60494
Yes,No,1826.0,39407.91703
No,Yes,601.0,18630.37913
Yes,Yes,1966.0,17735.7788
No,No,948.0,34869.12685
Yes,No,1734.0,26330.51173
No,Yes,344.0,19971.77621
No,No,1312.0,26377.97395
No,No,964.0,47605.76859
No,No,454.0,27865.2848
Yes,Yes,2169.0,18195.2669
Yes,Yes,1881.0,16580.45056
No,No,1501.0,35398.95712
No,Yes,15.0,13430.41584
Yes,Yes,2114.0,21100.72179
No,No,544.0,46149.51022
No,No,939.0,39459.76704
No,Yes,605.0,19369.34923
No,Yes,1305.0,20573.55387
Yes,No,1748.0,18966.10957
No,Yes,1035.0,15945.13985
Yes,No,2075.0,43817.49942
Yes,No,1406.0,30839.18067
No,No,737.0,46416.18292
No,No,1316.0,54833.05552
No,Yes,1191.0,20895.40819
No,No,965.0,34390.74604
No,No,439.0,40148.10805
No,Yes,490.0,21445.53004
No,No,965.0,25045.72554
No,No,960.0,29850.21207
No,Yes,612.0,16270.83564
No,Yes,1312.0,28483.13551
No,Yes,365.0,15375.15172
No,No,476.0,58837.72311
No,No,966.0,33440.9793
No,Yes,1036.0,20393.27002
No,Yes,486.0,20289.67472
No,No,899.0,41268.31261
No,No,1228.0,37408.50387
No,No,450.0,46172.72509
Yes,No,1798.0,47068.72461
No,No,952.0,44864.15486
No,Yes,1311.0,21189.2384
No,No,465.0,43480.56849
No,Yes,1171.0,19213.38573
No,No,965.0,34783.00688
No,No,443.0,38947.35437
Yes,Yes,2503.0,14947.51975
No,No,444.0,35241.99297
Yes,No,1890.0,48956.17159
No,Yes,485.0,15883.66443
Yes,No,792.0,46076.23711
No,No,1100.0,34358.07468
No,No,948.0,40739.85993
No,No,403.0,42993.43641
No,Yes,382.0,19951.72172
No,No,439.0,41454.72128
No,No,968.0,45299.00083
No,Yes,81.0,16145.6377
No,Yes,1190.0,15860.32668
Yes,No,1904.0,41173.50399
No,No,480.0,24805.9234
No,No,459.0,33163.54535
No,No,1412.0,42956.63139
No,No,939.0,44280.78635
No,No,1431.0,57525.26648
Yes,No,1923.0,56202.5762
No,Yes,1034.0,23825.02851
No,Yes,1313.0,16221.20289
No,No,441.0,47707.12518
Yes,No,1824.0,53526.35641
No,Yes,614.0,25040.48845
Yes,No,1898.0,61011.21595
No,No,967.0,32201.63408
No,No,787.0,24683.38081
No,Yes,607.0,26718.87155
No,No,469.0,30366.7196
No,No,690.0,29924.22946
No,Yes,1171.0,19473.69193
No,Yes,367.0,25833.0631
No,Yes,80.0,14390.81312
No,No,445.0,51386.2831
No,Yes,485.0,23261.33095
No,No,403.0,38629.94742
No,Yes,1196.0,13329.5964
Yes,Yes,2047.0,17910.63447
No,No,961.0,42619.07773
Yes,No,1816.0,31632.58386
Yes,Yes,1749.0,13715.42438
No,No,1506.0,35786.32716
No,No,901.0,55064.63649
No,Yes,979.0,16514.32495
No,No,1405.0,47712.18407
Yes,No,1834.0,43539.78433
No,Yes,375.0,13709.20533
Yes,No,2499.0,51504.29396
No,Yes,601.0,15897.138
No,No,461.0,49243.44479
No,No,1101.0,18153.84432
No,No,691.0,26989.39435
No,No,962.0,44696.29053
No,No,948.0,42094.47015
Yes,No,1753.0,48965.34697
No,Yes,381.0,20117.83003
Yes,No,2125.0,44520.0001
No,Yes,598.0,19794.57641
No,No,470.0,51308.31851
Yes,Yes,2008.0,18601.40309
No,Yes,360.0,26500.20874
No,Yes,605.0,16153.41429
No,No,941.0,58991.86151
No,Yes,1036.0,10607.90614
No,No,939.0,56633.44874
Yes,Yes,2333.0,11770.23412
Yes,No,1866.0,49604.88213
No,No,949.0,50528.53387
No,No,544.0,33861.5539
No,No,899.0,38267.08158
No,No,952.0,41689.56837
No,No,949.0,45456.9288
No,No,959.0,47468.66971
No,No,476.0,35621.69112
No,No,1407.0,43677.97642
No,No,957.0,53702.54156
No,No,938.0,18594.12798
No,No,458.0,26567.24108
Yes,Yes,2025.0,9663.788159
No,No,898.0,48233.8755
No,Yes,1199.0,13809.35049
No,No,478.0,39834.03081
No,No,404.0,41668.41958
Yes,No,1789.0,48331.12686
No,No,958.0,32816.2848
No,Yes,350.0,17657.17266
Yes,Yes,1771.0,15975.5372
Yes,No,2288.0,52043.56905
No,No,439.0,39390.72553
No,Yes,599.0,18575.40842
No,Yes,1169.0,14970.87009
No,No,1409.0,30626.22399
No,No,899.0,63041.22478
Yes,Yes,1812.0,17962.27016
No,No,464.0,44769.86483
No,Yes,484.0,12045.31042
No,Yes,1034.0,15818.0614
No,Yes,46.0,13950.08695
No,No,415.0,38030.82462
No,Yes,1038.0,18769.57902
Yes,No,2155.0,34787.25268
Yes,No,2024.0,51508.86888
No,Yes,1172.0,23505.19762
No,No,1315.0,29808.35223
Yes,Yes,2415.0,17429.50337
No,No,965.0,40814.65291
No,No,900.0,41276.56319
No,Yes,1037.0,15197.24851
No,No,947.0,38505.78387
No,No,457.0,39629.58084
No,No,969.0,45192.33896
No,Yes,488.0,17713.58867
Yes,Yes,1893.0,16853.32957
No,No,475.0,30799.94939
No,Yes,1041.0,19427.81424
No,No,469.0,25680.17493
No,No,449.0,45950.66672
Yes,No,1992.0,42133.37318
Yes,Yes,1758.0,14272.27378
Yes,No,1808.0,42308.95445
No,No,466.0,33998.84758
No,No,440.0,39395.96014
No,No,947.0,26618.52276
Yes,No,1970.0,29415.75329
No,No,942.0,34559.64654
No,No,955.0,50139.09299
No,No,956.0,44086.70773
No,Yes,1048.0,15846.65523
No,Yes,1196.0,23851.22139
Yes,No,1903.0,53394.07623
No,Yes,351.0,21235.36042
No,No,901.0,40848.69179
No,Yes,1185.0,25108.75671
Yes,No,2187.0,42205.12305
Yes,No,2075.0,40882.49422
No,No,415.0,37825.37218
No,No,461.0,40046.02933
No,No,949.0,36557.96159
No,No,954.0,27180.54596
Yes,Yes,2124.0,12651.07432
Yes,No,2064.0,37372.75849
No,Yes,375.0,19342.15809
Yes,Yes,2292.0,20837.20945
Yes,No,2133.0,28237.88234
No,No,947.0,28310.49378
Yes,Yes,1808.0,18166.32265
Yes,Yes,2110.0,17774.52529
No,Yes,71.0,17466.13896
No,No,414.0,49424.31038
No,No,946.0,30770.06673
Yes,Yes,2387.0,28296.91472
No,No,967.0,35269.12297
No,No,390.0,42322.2467
Yes,No,1803.0,36192.63022
No,Yes,1305.0,13496.87987
No,Yes,362.0,21685.69223
Yes,Yes,1681.0,10155.32399
No,Yes,734.0,16124.35425
No,Yes,99.0,16725.24507
No,No,952.0,49137.39569
No,No,443.0,37639.98243
No,Yes,1050.0,16746.06282
No,No,967.0,33055.11027
No,No,1309.0,57190.87487
No,Yes,392.0,9995.041633
No,No,1408.0,33697.34596
No,Yes,607.0,16373.93446
No,No,946.0,40038.68311
Yes,Yes,1836.0,18944.80788
No,Yes,3.0,18710.2648
No,No,958.0,35330.85535
No,No,1505.0,43036.12115
No,Yes,59.0,20914.93102
No,Yes,345.0,21341.65384
No,No,407.0,40524.33861
No,No,1311.0,32797.98992
Yes,Yes,1936.0,13377.82884
No,Yes,598.0,12385.82408
No,Yes,385.0,17844.51751
No,Yes,596.0,22324.46841
No,No,968.0,46278.07452
Yes,No,2147.0,58271.39083
No,No,690.0,56958.59936
No,No,956.0,42971.90111
No,Yes,1441.0,21648.65668
Yes,No,1927.0,59224.45276
No,Yes,344.0,14256.24175
No,No,445.0,41957.74494
No,No,465.0,58247.12157
No,Yes,360.0,18487.43325
No,No,940.0,47112.7653
No,No,961.0,30093.72754
No,No,961.0,30290.8065
No,No,968.0,26210.79214
No,Yes,1035.0,19105.62822
No,No,1413.0,53295.87299
No,No,955.0,52224.49279
No,Yes,1172.0,15850.77726
No,Yes,1184.0,13081.66106
No,No,456.0,40907.39835
No,Yes,974.0,20108.10358
No,No,479.0,37255.88033
Yes,Yes,1719.0,15752.00801
No,No,452.0,59429.12314
No,No,949.0,28411.65649
No,Yes,23.0,22196.65337
No,Yes,378.0,14021.5889
No,No,461.0,43147.77203
No,Yes,1312.0,15565.1977
No,Yes,486.0,16099.91794
No,No,953.0,29328.03916
No,No,459.0,21165.86648
Yes,Yes,2322.0,21331.31478
No,Yes,1178.0,12077.01326
No,No,947.0,41237.76925
No,Yes,379.0,14328.31189
No,No,404.0,40535.16617
No,No,951.0,33326.5872
Yes,Yes,2036.0,14435.84319
No,No,948.0,37891.03704
No,No,478.0,16978.27113
No,Yes,1196.0,14916.44469
No,No,737.0,37031.48477
Yes,Yes,2183.0,20780.69245
No,No,691.0,48140.47134
No,No,464.0,39626.76943
No,Yes,604.0,21187.71056
No,Yes,390.0,9050.002781
Yes,Yes,1895.0,16394.50811
No,No,956.0,48657.79037
No,Yes,1169.0,19879.24817
No,No,546.0,27236.55814
No,Yes,1308.0,17353.86042
No,No,444.0,50768.44487
No,Yes,385.0,13739.16614
No,Yes,1041.0,12177.03896
No,Yes,1178.0,7750.289221
Yes,No,2006.0,36636.00859
No,No,456.0,29898.00506
No,Yes,1177.0,19829.22646
Yes,Yes,1666.0,21024.27165
No,No,463.0,46760.49589
No,Yes,58.0,23639.23362
Yes,Yes,2083.0,20103.60274
No,Yes,376.0,20740.07619
No,No,413.0,42123.21721
No,No,690.0,66807.9363
No,Yes,1036.0,14108.45452
No,No,457.0,54894.16445
No,No,471.0,30337.14118
No,Yes,1310.0,15536.23876
No,No,470.0,29309.12726
No,No,442.0,36012.2359
No,No,1315.0,30067.41065
Yes,No,1815.0,23648.41351
Yes,Yes,2123.0,23836.46426
No,No,544.0,24477.47191
Yes,No,2041.0,50930.91079
Yes,No,1732.0,56228.92168
No,Yes,373.0,22308.04128
No,No,390.0,27108.21366
No,No,953.0,51257.1439
No,No,1505.0,36697.40199
No,No,737.0,55187.91982
No,Yes,389.0,22907.76746
Yes,Yes,2168.0,24648.97992
No,No,969.0,46026.71937
No,Yes,367.0,16295.56247
No,No,661.0,32064.33511
No,No,955.0,47520.17558
No,No,441.0,56060.20361
No,No,442.0,54996.84275
No,No,452.0,29254.87102
Yes,Yes,1738.0,20974.03459
No,No,456.0,47633.78544
No,Yes,1304.0,7986.000336
No,Yes,1182.0,21086.08201
No,Yes,1049.0,10392.06411
No,No,474.0,35133.07041
No,Yes,597.0,17397.34524
No,Yes,596.0,16084.90771
No,Yes,10.0,24581.97711
Yes,No,1859.0,35525.21393
No,No,1416.0,40371.28459
No,No,949.0,24094.78649
No,Yes,1174.0,15823.80548
Yes,Yes,2247.0,17926.72301
No,No,443.0,42004.19673
No,No,462.0,46221.21149
Yes,Yes,1775.0,20359.50609
Yes,Yes,1954.0,17137.47372
No,Yes,492.0,21715.2263
No,No,465.0,42358.16154
Yes,No,2228.0,27438.34899
No,Yes,495.0,15519.48512
No,Yes,1199.0,18884.12747
No,Yes,1170.0,8747.47272
No,No,949.0,26960.74276
No,No,441.0,39209.90013
No,No,461.0,38818.18164
No,No,1226.0,21426.30698
No,No,948.0,46813.51631
Yes,Yes,2004.0,18860.84665
Yes,No,1823.0,14664.13812
No,No,480.0,40995.03621
No,Yes,489.0,15159.49485
No,No,961.0,51936.75989
No,No,1499.0,39948.97799
Yes,Yes,1903.0,12464.30304
No,No,969.0,17352.41033
No,No,408.0,18555.32354
No,Yes,613.0,17665.4777
No,No,406.0,42642.23737
Yes,Yes,1741.0,18161.24408
No,Yes,1036.0,13959.42045
No,Yes,63.0,12308.01832
No,No,469.0,53273.91902
Yes,Yes,2177.0,17659.74782
No,No,1504.0,43888.39666
No,No,469.0,44285.32011
No,Yes,976.0,23191.7707
No,No,959.0,46133.13427
Yes,Yes,2334.0,19335.88929
No,No,955.0,45575.42099
No,No,947.0,9364.849781
No,Yes,1038.0,22889.48898
No,No,454.0,32178.62217
No,No,466.0,41133.94856
No,No,901.0,44594.34803
No,Yes,1183.0,16189.28839
No,No,414.0,53142.0239
No,Yes,1189.0,19545.72712
No,No,954.0,40908.40612
No,No,449.0,52892.25015
No,No,960.0,53418.51083
No,Yes,495.0,14881.84062
Yes,No,1964.0,50553.53452
No,No,439.0,46784.94481
No,Yes,606.0,16957.64876
No,Yes,1041.0,22618.42415
No,No,899.0,37919.75068
Yes,Yes,1894.0,12399.12474
No,No,468.0,43308.69657
No,No,466.0,52714.08886
Yes,No,2081.0,34494.17121
No,No,448.0,26350.87102
No,No,405.0,28493.35072
No,Yes,340.0,27387.26248
No,Yes,31.0,16246.57305
No,Yes,595.0,13180.50211
